Age,2018,2017,2015,2014,2013,2012,2011,2010,2009,2008
Under 18,"164,364","184,175","207,853","232,318","252,632","297,479","330,374","377,817","460,927","484,802"
Above 18,"1,962,336","2,046,677","2,030,482","2,119,001","2,154,527","2,177,158","2,140,996","2,224,638","2,253,434","2,137,892"
