Age,2018,2017,2015,2014,2013,2012,2011,2010,2009,2008
Under 18,"389,256","450,360","501,480","571,786","622,630","722,855","799,082","910,798","1,054,659","1,138,281"
Above 18,"5,295,129","5,556,379","5,566,104","5,867,522","6,040,203","6,249,168","6,267,221","6,710,305","6,972,137","6,948,386"
