Gender,2018,2017,2015,2014,2013,2012,2011,2010,2009,2008
Female,"2,126,700","2,230,852","2,238,335","2,351,319","2,407,159","2,474,637","2,471,370","2,602,455","2,714,361","2,662,694"
Male,"5,684,385","6,016,739","6,067,584","6,439,308","6,662,833","6,972,023","7,066,303","7,621,103","8,026,796","8,086,667"
